Symbol,LongName,Groups,Trend,WklyPrdStg,DlyPrdStg,wTop10Coint,dTop10Coint,wTop10Corr,wTop10xCorr,dTop10Corr,dTop10xCorr
000001.SS,SSE Composite Index,I:Shanghi,W:f - D:f,0.2397,0.227,0.0,"[[""CL"", ""1-F | 0.000 | 0.962""], [""ASND"", ""1-F | 0.001 | 0.954""], [""MEDP"", ""1-F | 0.002 | 0.846""], [""LDOS"", ""1-F | 0.007 | 0.959""], [""CLDX"", ""1-F | 0.010 | 0.959""], [""GD"", ""1-F | 0.016 | 0.956""], [""GILD"", ""1-F | 0.032 | 0.956""], [""BAX"", ""1-F | 0.032 | 0.960""], [""MDT"", ""1-F | 0.034 | 0.957""], [""SEDG"", ""1-F | 0.037 | 0.961""], [""LSCC"", ""1-F | 0.040 | 0.952""]]",0.0,0.0,"[[""MEDP"", 0.34258], [""^XAX"", 0.31951], [""^N225"", 0.31308], [""BIDU"", 0.31051], [""XAU=F"", 0.29489], [""JNJ"", 0.29224], [""NVDA"", 0.27953], [""INCY"", 0.2793], [""^NYA"", 0.26932], [""FXI"", 0.25558], [""TMO"", 0.25287]]","[[""PG"", -0.24599], [""JPYUSD=X"", -0.22369], [""NVCR"", -0.21888], [""CNC"", -0.21821], [""HRTX"", -0.20643], [""BAX"", -0.20433], [""FXP"", -0.20407], [""MASI"", -0.19717], [""CNMD"", -0.19654], [""HUBS"", -0.19646], [""WM"", -0.18525]]"
AAOI,"Applied Optoelectronics, Inc.",T: Long,W:f - D:f,0.2345,0.4144,0.0,"[[""UCTT"", ""1-F | 0.003 | 0.376""], [""AVGO"", ""1-F | 0.007 | 0.584""], [""JPM"", ""1-F | 0.009 | 0.522""], [""MDT"", ""1-F | 0.010 | 0.001""], [""SYNA"", ""1-F | 0.010 | 0.003""], [""QCOM"", ""1-F | 0.010 | 0.016""], [""XAF=F"", ""1-F | 0.010 | 0.135""], [""GD"", ""1-F | 0.016 | 0.692""], [""NVDA"", ""1-F | 0.018 | 0.537""], [""MRVL"", ""1-F | 0.019 | 0.088""], [""^IXIC"", ""1-F | 0.022 | 0.785""]]",0.0,0.0,"[[""^IXIC"", 0.49768], [""XAK=F"", 0.49317], [""^GSPC"", 0.48427], [""UCTT"", 0.4818], [""CLS"", 0.47138], [""AXP"", 0.47074], [""MRVL"", 0.4475], [""NVDA"", 0.43821], [""XAI=F"", 0.43293], [""^NYA"", 0.43221], [""HIMX"", 0.42607]]","[[""FXP"", -0.26241], [""CL"", -0.26141], [""CI"", -0.23108], [""PG"", -0.212], [""VZ"", -0.18229], [""ADP"", -0.16817], [""BAX"", -0.1549], [""WM"", -0.15451], [""JPYUSD=X"", -0.14823], [""T"", -0.14482], [""CNC"", -0.13916]]"
AAPL,Apple Inc.,,W:f - D:f,0.3207,0.2494,0.0,"[[""CL"", ""1-F | 0.000 | 0.842""], [""BAX"", ""1-F | 0.001 | 0.812""], [""IONS"", ""1-F | 0.002 | 0.053""], [""JNJ"", ""1-F | 0.003 | 0.091""], [""PTCT"", ""1-F | 0.004 | 0.803""], [""CLS"", ""1-F | 0.011 | 0.626""], [""MDLZ"", ""1-F | 0.011 | 0.884""], [""GOOG"", ""1-F | 0.015 | 0.888""], [""GOOGL"", ""1-F | 0.015 | 0.891""], [""CMCSA"", ""1-F | 0.016 | 0.849""], [""JPYUSD=X"", ""1-F | 0.020 | 0.819""]]",0.0,0.0,"[[""^GSPC"", 0.54349], [""^IXIC"", 0.52954], [""MRVL"", 0.48889], [""XAK=F"", 0.47456], [""^DJI"", 0.46841], [""AMZN"", 0.44795], [""LRCX"", 0.43545], [""GOOGL"", 0.43508], [""BAC"", 0.43351], [""INTC"", 0.43232], [""QCOM"", 0.43059]]","[[""FXP"", -0.29871], [""BAX"", -0.25297], [""CI"", -0.19303], [""CL"", -0.18561], [""JPYUSD=X"", -0.17516], [""CNC"", -0.15599], [""MDLZ"", -0.15366], [""PSA"", -0.14112], [""MASI"", -0.13256], [""T"", -0.13191], [""CCI"", -0.12922]]"
ABT,Abbott Laboratories,,W:f - D:f,0.419,0.4494,0.0,"[[""BCRX"", ""0-T  | ""], [""GBPUSD=X"", ""0-T  | ""], [""JPYUSD=X"", ""0-T  | ""], [""MDXG"", ""0-T  | ""], [""NNDM"", ""0-T  | ""], [""T"", ""0-T  | ""], [""VRSN"", ""1-F | 0.000 | 0.203""], [""AXON"", ""1-F | 0.000 | 0.353""], [""NFLX"", ""1-F | 0.000 | 0.529""], [""AMGN"", ""1-F | 0.000 | 0.699""], [""PACB"", ""1-F | 0.001 | 0.011""]]",0.0,0.0,"[[""LIN"", 0.40069], [""T"", 0.39662], [""PSA"", 0.37909], [""VZ"", 0.36767], [""SYK"", 0.36262], [""SYY"", 0.3492], [""ECL"", 0.33849], [""BAX"", 0.33042], [""MA"", 0.33025], [""ADP"", 0.32773], [""WM"", 0.32425]]","[[""IRWD"", -0.17413], [""BFH"", -0.11207], [""MRVL"", -0.10843], [""EXAS"", -0.10826], [""AAOI"", -0.10039], [""EGAN"", -0.09935], [""INTC"", -0.09669], [""PACB"", -0.09434], [""GOOGL"", -0.0924], [""NEO"", -0.0757], [""NNDM"", -0.06656]]"
ACAD,ACADIA Pharmaceuticals Inc.,T:Long-11/08,W:f - D:f,0.2224,0.2029,0.0,"[[""SYNA"", ""1-F | 0.011 | 0.215""], [""MDRX"", ""1-F | 0.015 | 0.577""], [""AMZN"", ""1-F | 0.059 | 0.201""], [""EURUSD=X"", ""1-F | 0.061 | 0.686""], [""AAOI"", ""1-F | 0.062 | 0.044""], [""SCHW"", ""1-F | 0.062 | 0.094""], [""CI"", ""1-F | 0.099 | 0.365""], [""XAF=F"", ""1-F | 0.099 | 0.494""], [""TRMB"", ""1-F | 0.119 | 0.240""], [""PNC"", ""1-F | 0.141 | 0.798""], [""XAI=F"", ""1-F | 0.149 | 0.763""]]",0.0,0.0,"[[""TRMB"", 0.40299], [""XAF=F"", 0.38494], [""^DJI"", 0.35997], [""NBIX"", 0.33944], [""BFH"", 0.33811], [""BLK"", 0.33778], [""^NYA"", 0.33772], [""CLDX"", 0.33589], [""DIS"", 0.32821], [""CSX"", 0.32591], [""ECL"", 0.31952]]","[[""FXP"", -0.21296], [""MDLZ"", -0.1631], [""JPYUSD=X"", -0.15488], [""JD"", -0.14087], [""UNH"", -0.13383], [""ACN"", -0.12814], [""CI"", -0.12139], [""PG"", -0.11782], [""MASI"", -0.11588], [""BAX"", -0.11069], [""HUBS"", -0.1095]]"
ACN,Accenture plc,T: Long,W:f - D:f,0.2517,0.2017,0.0,"[[""DUK"", ""1-F | 0.005 | 0.462""], [""SEDG"", ""1-F | 0.016 | 0.499""], [""NOC"", ""1-F | 0.021 | 0.676""], [""MDRX"", ""1-F | 0.025 | 0.424""], [""NVCR"", ""1-F | 0.053 | 0.401""], [""PEP"", ""1-F | 0.062 | 0.650""], [""CRM"", ""1-F | 0.067 | 0.171""], [""MTCH"", ""1-F | 0.082 | 0.465""], [""FXI"", ""1-F | 0.115 | 0.471""], [""ADM"", ""1-F | 0.116 | 0.483""], [""XAU=F"", ""1-F | 0.119 | 0.530""]]",0.0,0.0,"[[""CMCSA"", 0.49299], [""CRM"", 0.48681], [""ADBE"", 0.47824], [""ADP"", 0.412], [""UPS"", 0.38313], [""HUBS"", 0.37426], [""AIG"", 0.36392], [""NVCR"", 0.34694], [""WM"", 0.34386], [""PG"", 0.34193], [""NOW"", 0.33986]]","[[""^N225"", -0.24705], [""AMX"", -0.2241], [""NOC"", -0.2021], [""CLS"", -0.20073], [""CLDX"", -0.19197], [""GE"", -0.19173], [""SEDG"", -0.18889], [""CRSP"", -0.1885], [""MO"", -0.18798], [""FSLR"", -0.18616], [""^XAX"", -0.18129]]"
ADBE,Adobe Inc., ,W:f - D:f,0.4598,0.1948,0.0,"[[""BCRX"", ""1-F | 0.026 | 0.393""], [""PEP"", ""1-F | 0.051 | 0.603""], [""GILD"", ""1-F | 0.067 | 0.633""], [""MEDP"", ""1-F | 0.072 | 0.933""], [""BAX"", ""1-F | 0.078 | 0.314""], [""MDT"", ""1-F | 0.080 | 0.641""], [""GD"", ""1-F | 0.082 | 0.855""], [""JPYUSD=X"", ""1-F | 0.086 | 0.426""], [""TMO"", ""1-F | 0.088 | 0.977""], [""NOC"", ""1-F | 0.090 | 0.769""], [""NVCR"", ""1-F | 0.092 | 0.383""]]",0.0,0.0,"[[""CRM"", 0.54599], [""ACN"", 0.47824], [""HUBS"", 0.47045], [""CMCSA"", 0.46395], [""ADP"", 0.45949], [""NOW"", 0.42846], [""PYPL"", 0.41337], [""BAX"", 0.39372], [""NVCR"", 0.38665], [""HON"", 0.36366], [""V"", 0.36295]]","[[""DUK"", -0.21787], [""GC=F"", -0.21122], [""AMX"", -0.18913], [""ASND"", -0.18781], [""NEE"", -0.18343], [""NOC"", -0.17044], [""000001.SS"", -0.1688], [""XAU=F"", -0.1683], [""FSLR"", -0.16785], [""EURUSD=X"", -0.15854], [""ANTM.JK"", -0.14127]]"
ADM,Archer-Daniels-Midland Company, ,W:f - D:f,0.3121,0.1925,0.0,"[[""MDRX"", ""1-F | 0.001 | 0.562""], [""FXI"", ""1-F | 0.002 | 0.189""], [""CLDX"", ""1-F | 0.029 | 0.143""], [""ASND"", ""1-F | 0.029 | 0.275""], [""GLPG"", ""1-F | 0.039 | 0.288""], [""FXP"", ""1-F | 0.039 | 0.743""], [""CL"", ""1-F | 0.041 | 0.833""], [""LDOS"", ""1-F | 0.044 | 0.575""], [""NVDA"", ""1-F | 0.055 | 0.641""], [""IRTC"", ""1-F | 0.064 | 0.353""], [""APTV"", ""1-F | 0.065 | 0.193""]]",0.0,0.0,"[[""^XAX"", 0.43589], [""XAB=F"", 0.40072], [""MDT"", 0.38273], [""EL"", 0.37152], [""APTV"", 0.3629], [""IONS"", 0.35536], [""BAC"", 0.34151], [""^NYA"", 0.33446], [""GD"", 0.33236], [""GLPG"", 0.33116], [""PEP"", 0.33085]]","[[""FXP"", -0.3105], [""SRPT"", -0.17734], [""HUBS"", -0.17412], [""HRTX"", -0.16523], [""VRTX"", -0.16079], [""CRM"", -0.14742], [""ACN"", -0.14499], [""CCI"", -0.14158], [""ADBE"", -0.13272], [""NVCR"", -0.1266], [""BCRX"", -0.12642]]"
ADP,"Automatic Data Processing, Inc.", ,W:f - D:f,0.2586,0.2029,0.0,"[[""TMO"", ""1-F | 0.011 | 0.981""], [""PACB"", ""1-F | 0.020 | 0.769""], [""PTCT"", ""1-F | 0.021 | 0.933""], [""DHR"", ""1-F | 0.022 | 0.950""], [""XNCR"", ""1-F | 0.026 | 0.818""], [""XOM"", ""1-F | 0.028 | 0.892""], [""LLY"", ""1-F | 0.034 | 0.933""], [""JPYUSD=X"", ""1-F | 0.038 | 0.756""], [""AMGN"", ""1-F | 0.040 | 0.912""], [""PLD"", ""1-F | 0.052 | 0.960""], [""GILD"", ""1-F | 0.063 | 0.888""]]",0.0,0.0,"[[""WM"", 0.52085], [""ADBE"", 0.45949], [""CMCSA"", 0.45784], [""LIN"", 0.45555], [""PYPL"", 0.4423], [""SYK"", 0.425], [""APD"", 0.41695], [""HON"", 0.41256], [""ACN"", 0.412], [""MA"", 0.40762], [""V"", 0.39902]]","[[""XNCR"", -0.24589], [""FSLR"", -0.24514], [""MRK"", -0.2413], [""^N225"", -0.23146], [""GC=F"", -0.22397], [""PTCT"", -0.19518], [""EURUSD=X"", -0.18679], [""LRCX"", -0.18605], [""EXAS"", -0.17034], [""CLDX"", -0.16902], [""AAOI"", -0.16817]]"
AIG,"American International Group, Inc.", ,W:f - D:f,0.25,0.304,0.0,"[[""DUK"", ""1-F | 0.003 | 0.354""], [""CRM"", ""1-F | 0.012 | 0.061""], [""NVCR"", ""1-F | 0.015 | 0.003""], [""ACN"", ""1-F | 0.015 | 0.377""], [""SO"", ""1-F | 0.019 | 0.318""], [""XAU=F"", ""1-F | 0.021 | 0.434""], [""ADBE"", ""1-F | 0.026 | 0.409""], [""LDOS"", ""1-F | 0.026 | 0.730""], [""SYY"", ""1-F | 0.027 | 0.424""], [""SEDG"", ""1-F | 0.027 | 0.473""], [""MTCH"", ""1-F | 0.028 | 0.280""]]",0.0,0.0,"[[""AON"", 0.3744], [""ALL"", 0.36635], [""ACN"", 0.36392], [""CB"", 0.35764], [""CRM"", 0.35578], [""ADBE"", 0.34997], [""CI"", 0.33372], [""ADP"", 0.33206], [""BRK-B"", 0.32389], [""HRTX"", 0.31928], [""V"", 0.31397]]","[[""CLS"", -0.15932], [""AMX"", -0.15858], [""AVGO"", -0.13195], [""GOOG"", -0.12957], [""GOOGL"", -0.12903], [""ORCL"", -0.12789], [""FSLR"", -0.10251], [""IRTC"", -0.10098], [""ANTM.JK"", -0.08729], [""PACB"", -0.08399], [""LSCC"", -0.08341]]"
TRMB,Trimble Inc.,T: Long,W:f - D:f,0.2483,0.2086,0.0,"[[""MDRX"", ""1-F | 0.000 | 0.457""], [""EURUSD=X"", ""1-F | 0.003 | 0.508""], [""SRPT"", ""1-F | 0.028 | 0.005""], [""AMZN"", ""1-F | 0.032 | 0.137""], [""BRK-B"", ""1-F | 0.034 | 0.368""], [""CNC"", ""1-F | 0.047 | 0.623""], [""GLPG"", ""1-F | 0.060 | 0.387""], [""PFE"", ""1-F | 0.073 | 0.378""], [""LOW"", ""1-F | 0.124 | 0.378""], [""NKE"", ""1-F | 0.132 | 0.024""], [""NVDA"", ""1-F | 0.142 | 0.608""]]",0.0,0.0,"[[""XAI=F"", 0.57504], [""^DJI"", 0.57261], [""^GSPC"", 0.56844], [""XAF=F"", 0.55046], [""PNC"", 0.53843], [""XAK=F"", 0.5305], [""AXP"", 0.52977], [""^NYA"", 0.52301], [""^IXIC"", 0.52275], [""USB"", 0.51702], [""ITW"", 0.50613]]","[[""FXP"", -0.40757], [""CL"", -0.1657], [""JPYUSD=X"", -0.16035], [""KO"", -0.11617], [""AON"", -0.11056], [""CI"", -0.108], [""PG"", -0.08988], [""SRPT"", -0.0822], [""CNC"", -0.07395], [""UNH"", -0.06748], [""BRK-B"", -0.0631]]"
TRV,"The Travelers Companies, Inc.", ,W:u - D:f,0.6121,0.3052,0.0,"[[""WMT"", ""0-T  | ""], [""MDLZ"", ""1-F | 0.002 | 0.783""], [""LIVN"", ""1-F | 0.003 | 0.011""], [""IMAX"", ""1-F | 0.003 | 0.142""], [""CCI"", ""1-F | 0.003 | 0.760""], [""MDB"", ""1-F | 0.004 | 0.937""], [""GOOG"", ""1-F | 0.004 | 0.945""], [""TEVA"", ""1-F | 0.005 | 0.087""], [""MASI"", ""1-F | 0.006 | 0.536""], [""JAZZ"", ""1-F | 0.007 | 0.132""], [""GOOGL"", ""1-F | 0.008 | 0.945""]]",0.0,0.0,"[[""ALL"", 0.58175], [""CB"", 0.49437], [""XAF=F"", 0.46111], [""^NYA"", 0.41542], [""PLD"", 0.41153], [""JNJ"", 0.39175], [""MDT"", 0.38988], [""WMT"", 0.38882], [""AXP"", 0.38588], [""USB"", 0.37414], [""^DJI"", 0.37299]]","[[""FXP"", -0.22955], [""JPYUSD=X"", -0.19716], [""SMCI"", -0.16214], [""JD"", -0.12799], [""NVCR"", -0.12373], [""BAX"", -0.10502], [""HUBS"", -0.10193], [""BCRX"", -0.06083], [""MASI"", -0.05623], [""SRPT"", -0.05316], [""HRTX"", -0.04822]]"
TSLA,"Tesla, Inc.", ,W:f - D:f,0.231,0.246,0.0,"[[""PLD"", ""1-F | 0.002 | 0.472""], [""CLDX"", ""1-F | 0.004 | 0.481""], [""CL"", ""1-F | 0.006 | 0.552""], [""ASND"", ""1-F | 0.008 | 0.325""], [""CCI"", ""1-F | 0.013 | 0.587""], [""MDT"", ""1-F | 0.014 | 0.428""], [""JAZZ"", ""1-F | 0.018 | 0.211""], [""FSLR"", ""1-F | 0.019 | 0.035""], [""NEE"", ""1-F | 0.023 | 0.444""], [""QCOM"", ""1-F | 0.029 | 0.398""], [""TRV"", ""1-F | 0.029 | 0.487""]]",0.0,0.0,"[[""^IXIC"", 0.48118], [""^GSPC"", 0.47848], [""BAC"", 0.45146], [""QCOM"", 0.44659], [""AAPL"", 0.43044], [""NVDA"", 0.42153], [""SYNA"", 0.4213], [""LRCX"", 0.40452], [""MRVL"", 0.39682], [""UCTT"", 0.3808], [""CAT"", 0.37535]]","[[""FXP"", -0.31684], [""BAX"", -0.2481], [""CL"", -0.20668], [""JPYUSD=X"", -0.20369], [""HRTX"", -0.16171], [""T"", -0.16004], [""CCI"", -0.15444], [""CMCSA"", -0.14151], [""CNC"", -0.13477], [""VRTX"", -0.13457], [""PG"", -0.13011]]"
